date_id,date_time,full_date,day,month,year
1,2019-01-01,2019-01-01,1,1,2019
2,2019-01-02,2019-01-02,2,1,2019
3,2019-01-03,2019-01-03,3,1,2019
4,2019-01-04,2019-01-04,4,1,2019
5,2019-01-05,2019-01-05,5,1,2019
6,2019-01-06,2019-01-06,6,1,2019
7,2019-01-07,2019-01-07,7,1,2019
8,2019-01-08,2019-01-08,8,1,2019
9,2019-01-09,2019-01-09,9,1,2019
10,2019-01-10,2019-01-10,10,1,2019
11,2019-01-11,2019-01-11,11,1,2019
12,2019-01-12,2019-01-12,12,1,2019
13,2019-01-13,2019-01-13,13,1,2019
14,2019-01-14,2019-01-14,14,1,2019
15,2019-01-15,2019-01-15,15,1,2019
16,2019-01-16,2019-01-16,16,1,2019
17,2019-01-17,2019-01-17,17,1,2019
18,2019-01-18,2019-01-18,18,1,2019
19,2019-01-19,2019-01-19,19,1,2019
20,2019-01-20,2019-01-20,20,1,2019
21,2019-01-21,2019-01-21,21,1,2019
22,2019-01-22,2019-01-22,22,1,2019
23,2019-01-23,2019-01-23,23,1,2019
24,2019-01-24,2019-01-24,24,1,2019
25,2019-01-25,2019-01-25,25,1,2019
26,2019-01-26,2019-01-26,26,1,2019
27,2019-01-27,2019-01-27,27,1,2019
28,2019-01-28,2019-01-28,28,1,2019
29,2019-01-29,2019-01-29,29,1,2019
30,2019-01-30,2019-01-30,30,1,2019
31,2019-01-31,2019-01-31,31,1,2019
32,2019-02-01,2019-02-01,1,2,2019
33,2019-02-02,2019-02-02,2,2,2019
34,2019-02-03,2019-02-03,3,2,2019
35,2019-02-04,2019-02-04,4,2,2019
36,2019-02-05,2019-02-05,5,2,2019
37,2019-02-06,2019-02-06,6,2,2019
38,2019-02-07,2019-02-07,7,2,2019
39,2019-02-08,2019-02-08,8,2,2019
40,2019-02-09,2019-02-09,9,2,2019
41,2019-02-10,2019-02-10,10,2,2019
42,2019-02-11,2019-02-11,11,2,2019
43,2019-02-12,2019-02-12,12,2,2019
44,2019-02-13,2019-02-13,13,2,2019
45,2019-02-14,2019-02-14,14,2,2019
46,2019-02-15,2019-02-15,15,2,2019
47,2019-02-16,2019-02-16,16,2,2019
48,2019-02-17,2019-02-17,17,2,2019
49,2019-02-18,2019-02-18,18,2,2019
50,2019-02-19,2019-02-19,19,2,2019
51,2019-02-20,2019-02-20,20,2,2019
52,2019-02-21,2019-02-21,21,2,2019
53,2019-02-22,2019-02-22,22,2,2019
54,2019-02-23,2019-02-23,23,2,2019
55,2019-02-24,2019-02-24,24,2,2019
56,2019-02-25,2019-02-25,25,2,2019
57,2019-02-26,2019-02-26,26,2,2019
58,2019-02-27,2019-02-27,27,2,2019
59,2019-02-28,2019-02-28,28,2,2019
60,2019-03-01,2019-03-01,1,3,2019
61,2019-03-02,2019-03-02,2,3,2019
62,2019-03-03,2019-03-03,3,3,2019
63,2019-03-04,2019-03-04,4,3,2019
64,2019-03-05,2019-03-05,5,3,2019
65,2019-03-06,2019-03-06,6,3,2019
66,2019-03-07,2019-03-07,7,3,2019
67,2019-03-08,2019-03-08,8,3,2019
68,2019-03-09,2019-03-09,9,3,2019
69,2019-03-10,2019-03-10,10,3,2019
70,2019-03-11,2019-03-11,11,3,2019
71,2019-03-12,2019-03-12,12,3,2019
72,2019-03-13,2019-03-13,13,3,2019
73,2019-03-14,2019-03-14,14,3,2019
74,2019-03-15,2019-03-15,15,3,2019
75,2019-03-16,2019-03-16,16,3,2019
76,2019-03-17,2019-03-17,17,3,2019
77,2019-03-18,2019-03-18,18,3,2019
78,2019-03-19,2019-03-19,19,3,2019
79,2019-03-20,2019-03-20,20,3,2019
80,2019-03-21,2019-03-21,21,3,2019
81,2019-03-22,2019-03-22,22,3,2019
82,2019-03-23,2019-03-23,23,3,2019
83,2019-03-24,2019-03-24,24,3,2019
84,2019-03-25,2019-03-25,25,3,2019
85,2019-03-26,2019-03-26,26,3,2019
86,2019-03-27,2019-03-27,27,3,2019
87,2019-03-28,2019-03-28,28,3,2019
88,2019-03-29,2019-03-29,29,3,2019
89,2019-03-30,2019-03-30,30,3,2019
